distance_ft,aerial_vf2f,aerial_f2m,aerial_m2c,aerial_c2vc,ground_low_vf,ground_low_fmc,ground_high_vf,ground_high_fmc,airblast_normal,airblast_dense,airblast_sparse,airblast_vineyard,airblast_orchard
0,0.50013,0.49997,0.4999,0.49988,1.019339,1.007885,1.055205,1.012828,8.91E-03,0.1155276,0.4762651,3.76E-02,0.2223051
0.102525,,,,,0.9563344,0.791181,1.031179,0.8651651,8.82E-03,0.1146911,0.4721738,3.70E-02,0.2203779
0.20505,,,,,0.8995457,0.6463537,1.008014,0.7523841,8.73E-03,0.1138636,0.4681299,3.64E-02,0.2184745
0.4101,,,,,0.8014717,0.4668763,0.9641023,0.5924242,8.55E-03,0.1122354,0.4601823,3.53E-02,0.214738
0.8202,,,,,0.6515037,0.2926181,0.8849454,0.4089229,8.22E-03,0.1090821,0.4448291,3.32E-02,0.2075354
1.6404,,,,,0.4621718,0.161585,0.7547942,0.2457327,7.61E-03,0.1031627,0.4161489,2.95E-02,0.1941357
3.2808,,,,,0.27784,8.23E-02,0.5717199,0.1325945,6.62E-03,0.0926877,0.365902,2.38E-02,0.1708277
4.9212,,,,,0.1917688,0.0547733,0.4515365,9.00E-02,5.84E-03,8.37E-02,0.3235644,0.0196084,0.1513466
6.5616,0.44385,0.37451,0.34808,0.32498,0.1436966,4.11E-02,0.3681526,6.82E-02,5.22E-03,7.60E-02,0.2876267,1.65E-02,0.1349155
9.8424,,,,,9.35E-02,2.78E-02,0.2625245,4.64E-02,4.28E-03,6.35E-02,0.2305019,1.21E-02,0.1089698
13.1232,0.40483,0.29849,0.25638,0.22961,6.84E-02,2.14E-02,0.2001684,0.0356329,3.61E-03,5.39E-02,0.187791,9.33E-03,8.97E-02
19.6848,0.37772,0.25004,0.20046,0.17182,4.43E-02,1.51E-02,0.1323332,2.50E-02,2.73E-03,4.03E-02,0.1298433,6.09E-03,6.35E-02
26.2464,0.35714,0.2138,0.16262,0.13469,3.29E-02,1.20E-02,9.74E-02,1.98E-02,2.18E-03,3.13E-02,9.38E-02,4.34E-03,4.72E-02
32.808,0.34124,0.19455,0.13789,0.10902,2.63E-02,1.01E-02,7.68E-02,1.65E-02,0.0018118,2.51E-02,7.02E-02,3.29E-03,3.64E-02
